PSMA1 PSMD2 
PSMA1 PSMD12 
PSMA1 PSMB5 
PSMA1 PSMA7 
PSMA1 PSMB2 
PSMA1 PSMB8 
PSMA1 PSMD14 
PSMA1 PSMD13 
PSMA1 PSMC6 
PSMA1 PSMB3 
PSMA1 PSMC3 
PSMB7 PSMD8 
PSMB7 PSMA3 
PSMB7 PSMD7 
PSMB7 PSMA2 
PSMB7 PSMC6 
PSMB7 PSMB2 
PSMB7 PSMD1 
PSMB7 PSMB3 
PSMB7 PSMB6 
PSMB7 PSMC3 
PSMB7 PSMD3 
PSMB7 PSMD12 
PSMB7 PSMD13 
PSMB7 PSMA5 
PSMB7 PSMD14 
PSMB7 PSMA7 
PSMB7 PSMC1 
PSMB7 PSMD2 
PSMB7 PSMB5 
PSMC6 PSMD8 
PSMC6 PSMA3 
PSMC6 PSMD10 
PSMC6 PSMD7 
PSMC6 PSMA2 
PSMC6 PSMC1 
PSMC6 PSMD3 
PSMC6 PSMB6 
PSMC6 PSMA5 
PSMC6 PSMD1 
PSMC6 PSMD2 
PSMC6 PSMD12 
PSMC6 PSMB5 
PSMC6 PSMA7 
PSMC6 PSMB2 
PSMC6 PSMB8 
PSMC6 PSMD14 
PSMC6 PSMD13 
PSMC6 PSMB3 
PSMC6 PSMC3 
PSMC6 PSMD9 
PSMA2 PSMD8 
PSMA2 PSMA3 
PSMA2 PSMD7 
PSMA2 PSMB2 
PSMA2 PSMD1 
PSMA2 PSMB3 
PSMA2 PSMB6 
PSMA2 PSMC3 
PSMA2 PSMD3 
PSMA2 PSMD12 
PSMA2 PSMB10 
PSMA2 PSMD13 
PSMA2 PSMA5 
PSMA2 PSMD14 
PSMA2 PSMB8 
PSMA2 PSMA7 
PSMA2 PSMC1 
PSMA2 PSMD2 
PSMA2 PSMB5 
PSMA3 PSMD8 
PSMA3 PSMB2 
PSMA3 PSMD1 
PSMA3 PSMB3 
PSMA3 PSMB6 
PSMA3 PSMC3 
PSMA3 PSMD3 
PSMA3 PSMD12 
PSMA3 PSMB10 
PSMA3 PSMD13 
PSMA3 PSMA5 
PSMA3 PSMD7 
PSMA3 PSMD14 
PSMA3 PSMB8 
PSMA3 PSMA7 
PSMA3 PSMC1 
PSMA3 PSMD2 
PSMA3 PSMB5 
PSMB2 PSMD8 
PSMB2 PSMD7 
PSMB2 PSMC1 
PSMB2 PSMD3 
PSMB2 PSMB6 
PSMB2 PSMA5 
PSMB2 PSMD1 
PSMB2 PSMD2 
PSMB2 PSMD12 
PSMB2 PSMB10 
PSMB2 PSMB5 
PSMB2 PSMA7 
PSMB2 PSMB3 
PSMB2 PSMC3 
PSMB2 PSMD13 
PSMB2 PSMD14 
PSMB2 PSMB8 
PSMD1 PSMD8 
PSMD1 PSMD7 
PSMD1 PSMC1 
PSMD1 PSMD3 
PSMD1 PSMB6 
PSMD1 PSMA5 
PSMD1 PSMB3 
PSMD1 PSMC3 
PSMD1 PSMD12 
PSMD1 PSMD13 
PSMD1 PSMD14 
PSMD1 PSMA7 
PSMD1 PSMD2 
PSMD1 PSMB5 
PSMB3 PSMD8 
PSMB3 PSMD7 
PSMB3 PSMC1 
PSMB3 PSMD3 
PSMB3 PSMB6 
PSMB3 PSMA5 
PSMB3 PSMD2 
PSMB3 PSMD12 
PSMB3 PSMB10 
PSMB3 PSMB5 
PSMB3 PSMA7 
PSMB3 PSMB8 
PSMB3 PSMD14 
PSMB3 PSMD13 
PSMB3 PSMC3 
PSMB6 PSMD8 
PSMB6 PSMD7 
PSMB6 PSMC1 
PSMB6 PSMD3 
PSMB6 PSMC3 
PSMB6 PSMD12 
PSMB6 PSMD13 
PSMB6 PSMA5 
PSMB6 PSMD14 
PSMB6 PSMA7 
PSMB6 PSMD2 
PSMB6 PSMB5 
PSMC3 PSMD8 
PSMC3 PSMD10 
PSMC3 PSMD7 
PSMC3 PSMC1 
PSMC3 PSMD3 
PSMC3 PSMA5 
PSMC3 PSMD2 
PSMC3 PSMD12 
PSMC3 PSMB5 
PSMC3 PSMA7 
PSMC3 PSMB8 
PSMC3 PSMD14 
PSMC3 PSMD13 
PSMC3 PSMD9 
PSMD8 PSMD10 
PSMD8 PSMD3 
PSMD8 PSMD12 
PSMD8 MAD2L1 
PSMD8 PSMD13 
PSMD8 PSMA5 
PSMD8 PSMD7 
PSMD8 ANAPC4 
PSMD8 PSMD14 
PSMD8 PSMB8 
PSMD8 PSMA7 
PSMD8 PSMC1 
PSMD8 PSMD2 
PSMD8 PSMB5 
PSMD3 PSMD10 
PSMD3 PSMD7 
PSMD3 PSMC1 
PSMD3 PSMD12 
PSMD3 PSMD13 
PSMD3 PSMA5 
PSMD3 PSMD14 
PSMD3 PSMA7 
PSMD3 PSMD2 
PSMD3 PSMB5 
PSMD12 PSMD10 
PSMD12 PSMD7 
PSMD12 PSMC1 
PSMD12 PSMA5 
PSMD12 PSMD2 
PSMD12 PSMD13 
PSMD12 PSMD14 
PSMD12 PSMA7 
PSMD12 PSMB5 
PSMB10 PSMA5 
PSMD13 PSMD10 
PSMD13 PSMD7 
PSMD13 PSMC1 
PSMD13 PSMA5 
PSMD13 PSMD2 
PSMD13 PSMA7 
PSMD13 PSMD14 
PSMA5 PSMD7 
PSMA5 PSMC1 
PSMA5 PSMD14 
PSMA5 PSMB8 
PSMA5 PSMA7 
PSMA5 PSMD2 
PSMA5 PSMB5 
PSMD7 PSMD14 
PSMD7 PSMB8 
PSMD7 PSMA7 
PSMD7 PSMC1 
PSMD7 PSMD2 
PSMD7 PSMB5 
PSMD14 PSMD10 
PSMD14 PSMC1 
PSMD14 PSMD2 
PSMD14 PSMB5 
PSMD14 PSMA7 
PSMB8 PSMC1 
PSMB8 PSMA7 
PSMA7 PSMC1 
PSMA7 PSMD2 
PSMA7 PSMB5 
PSMC1 PSMD10 
PSMC1 PSMD2 
PSMC1 PSMB5 
PSMD2 PSMD10 
PSMD2 PSMB5 
MRPS10 DAP3 
