CYP51A1 LSS
MRPL32 MRPL4
MRPL32 MRPL17
MRPL32 MRPL36
MRPL32 MRPL2
MRPL32 MRPL21
MRPL32 MRPS16
MRPL32 MRPL44
MRPL32 MRPL13
MRPL32 MRPL41
YKT6 STX5
CHMP5 VTA1
SEC61B SEC61A1
SEC61B SEC61G
OBFC1 TEN1
UTP18 TBL3
UTP18 UTP15
UTP18 WDR46
UTP18 UTP6
UTP18 WDR36
UTP18 DCAF13
UTP18 CIRH1A
UTP18 WDR75
UTP18 WDR3
UTP18 MPHOSPH10
UTP18 UTP11L
UTP18 NOP56
UTP18 HEATR1
UTP18 EMG1
UTP18 UTP3
UTP18 NOL6
UTP18 NOP14
UTP18 BMS1
UTP18 WDR43
UTP18 RRP9
RPL19 RPL28
RPL19 RPS18
RPL19 RPLP2
RPL19 RPS4X
RPL19 RPL13
RPL19 RPS17
RPL19 RPS28
RPL19 RPS3
RPL19 RPL34
RPL19 RPL39
RPL19 RPL7
RPL19 GNB2L1
RPL19 RPS3A
RPL19 RPL11
RPL19 RPL3
RPL19 RPL10
RPL19 RPL27
RPL19 RPL7A
RPL19 RPL21
RPL19 RPL31
RPL19 RPL36AL
RPL19 RPL24
RPL19 RPSA
RPL19 RPS29
RPL19 RPL27A
RPL19 FAU
RPL19 RPL23A
RPL19 RPL4
RPL19 RPL30
RPL19 RPS24
RPL19 RPS27A
RPL19 RPL35
RPL19 RPL8
RPL19 RPS15A
RPL19 RPL23
RPL19 RPS6
RPL19 RPS27L
RPL19 RPS13
RPL19 RPL10L
RPL19 RPL36
RPL19 RPL38
RPL19 RPS9
RPL19 RPL37A
RPL19 RPL35A
RPL19 RPS23
RPL19 RPL36A
RPL19 RPL32
RPL19 RPS7
RPL19 RPL10A
RPL19 RPS25
RPL19 RPS14
RPL19 RPL5
RPL19 RPL15
RPL19 RPS16
RPL19 RPS12
RPL19 RPS20
RPL19 RPL22
RPL19 RPL17
RPL19 RPS21
RPL19 RPLP0
RPL19 RPLP1
RPL19 RPL14
RPL19 RPL12
RPL19 RPL9
RPL19 RPS8
RPL19 RPS27
RPL19 EEF2
RPL19 RPL13A
RPL19 UBA52
RPL19 RPS10
